#Cont	#Expt	#Genes	Condition	GSEID	ROC-AUC	Series	Signature	Species	pvalue
7	10	(2,15,14)	Night GSE87761	GSE87761	0.90	GSE87761	Keller_C13-14-3	Hs	0.00686
12	12	(2,15,14)	Ebola GSE133595	GSE133595	0.74	GSE133595	Keller_C13-14-3	Hs	0.0929
94	89	(2,15,14)	Ebola GSE130629	GSE130629	0.74	GSE130629	Keller_C13-14-3	Hs	8.71e-08
22	37	(2,15,14)	Ebola GSE122692	GSE122692	0.58	GSE122692	Keller_C13-14-3	Hs	0.308
123	157	(2,15,14)	SARS GSE47963	GSE47963	0.59	GSE47963	Keller_C13-14-3	Hs	0.0163
15	27	(2,15,14)	H7N9 GSE114466	GSE114466	0.30	GSE114466	Keller_C13-14-3	Hs	0.0109
128	127	(2,15,14)	H1N1 GSE68310	GSE68310	0.27	GSE68310	Keller_C13-14-3	Hs	7.27e-11
32	46	(2,15,14)	InfA GSE52405	GSE52405	0.51	GSE52405	Keller_C13-14-3	Hs	0.829
32	42	(2,15,14)	Cov1 GSE52405	GSE52405	0.43	GSE52405	Keller_C13-14-3	Hs	0.231
51	67	(2,15,14)	Flu GSE113211	GSE113211	0.41	GSE113211	Keller_C13-14-3	Hs	0.141
130	229	(2,15,14)	Flu GSE111368	GSE111368	0.30	GSE111368	Keller_C13-14-3	Hs	5.93e-11
